"ClimaticVariable","Model","Mean_RMSE","SD_RMSE","Mean_MAE","SD_MAE","Mean_MAPE","SD_MAPE","Folds"
"Precipitation","(S)ARIMA",27.0679927770561,23.9936189092631,27.0679927770561,23.9936189092631,436.321229222425,1206.82707920335,48
"Precipitation","Holt–Winters",23.5531166880208,23.4713889900717,23.5531166880208,23.4713889900717,238.146807236231,544.311000612941,48
"SoilMoisture","(S)ARIMA",1.62006139831492,1.44647485957304,1.62006139831492,1.44647485957304,7.59025320063401,7.15494315807065,48
"SoilMoisture","Holt–Winters",1.71353926193758,1.51869521447076,1.71353926193758,1.51869521447076,7.73561492731005,6.53472409109198,48
"Temperature","(S)ARIMA",1.82598519260554,1.53093807314227,1.82598519260554,1.53093807314227,42.4256495137227,98.8672575659089,48
"Temperature","Holt–Winters",1.71773624314106,1.35356963680825,1.71773624314106,1.35356963680825,85.6315261517802,340.163754700507,48
"WindSpeed","(S)ARIMA",0.116926002432614,0.109467150594152,0.116926002432614,0.109467150594152,37.6702277215128,64.28066949247,48
"WindSpeed","Holt–Winters",0.104994885281886,0.10208806894428,0.104994885281886,0.10208806894428,37.1180260574486,76.6335244115083,48
