"train_end","rmse","mae","mape","ClimaticVariable","Model"
36,6.84431984463999,6.84431984463999,140.829626432922,"Temperature","(S)ARIMA"
37,0.53580604996955,0.53580604996955,13.6477642025357,"Temperature","(S)ARIMA"
38,3.78200326408012,3.78200326408012,37.6307401151956,"Temperature","(S)ARIMA"
39,3.63852679944283,3.63852679944283,31.9009657538902,"Temperature","(S)ARIMA"
40,2.14313002168341,2.14313002168341,12.1519517184626,"Temperature","(S)ARIMA"
41,1.8287651448732,1.8287651448732,7.90483424820347,"Temperature","(S)ARIMA"
42,0.157093866167386,0.157093866167386,0.647424238211094,"Temperature","(S)ARIMA"
43,2.2340459195299,2.2340459195299,9.08356968253914,"Temperature","(S)ARIMA"
44,2.1815238361454,2.1815238361454,12.7262304553558,"Temperature","(S)ARIMA"
45,2.37217007382146,2.37217007382146,18.8765928235724,"Temperature","(S)ARIMA"
46,0.119364469195364,0.119364469195364,1.69265509533041,"Temperature","(S)ARIMA"
47,2.02632003145947,2.02632003145947,58.9069082171292,"Temperature","(S)ARIMA"
48,5.39706903529804,5.39706903529804,144.005102761538,"Temperature","(S)ARIMA"
49,5.01630189810127,5.01630189810127,487.497051603553,"Temperature","(S)ARIMA"
50,3.92790767592699,3.92790767592699,80.9163480085926,"Temperature","(S)ARIMA"
51,3.68254743192357,3.68254743192357,21.9771440416202,"Temperature","(S)ARIMA"
52,3.00322763362929,3.00322763362929,15.0426310123702,"Temperature","(S)ARIMA"
53,0.00984134268533765,0.00984134268533765,0.0462730167879827,"Temperature","(S)ARIMA"
54,1.03936371190852,1.03936371190852,4.66548922696832,"Temperature","(S)ARIMA"
55,1.85975302657893,1.85975302657893,7.72943209459988,"Temperature","(S)ARIMA"
56,0.634954344611035,0.634954344611035,3.38353735715062,"Temperature","(S)ARIMA"
57,3.21927435077185,3.21927435077185,22.0454814131945,"Temperature","(S)ARIMA"
58,0.101442169002649,0.101442169002649,1.31366814401981,"Temperature","(S)ARIMA"
